Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_SOFT,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,38,0 days 00:01:36.129000,HARD,2.0,True,0 days 02:03:03.508000,16,0 days 00:00:30.735000,0 days 00:00:41.742000,0 days 00:00:23.652000,1,96.129,7383.508,2.4989999999997963,True,False,2.0,0.0,0.0,0.0,0.0,30.735,41.742,23.652,0,0,0,0.0,98.03620000000001,0.2653614516089747,-7.187178048793506,1,0,97.767,95.856,-1.9110000000000014,0.016999999999995907,-1.637999999999991,-0.13866666666667035,0.0,-0.31700000000000017,0.1303322676853271,-0.13866666666667035,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,39,0 days 00:01:35.856000,HARD,3.0,True,0 days 02:04:39.364000,16,0 days 00:00:30.737000,0 days 00:00:41.650000,0 days 00:00:23.469000,1,95.856,7479.364,3.1950000000006185,True,False,3.0,0.0,0.0,0.0,0.0,30.737,41.65,23.469,0,0,0,0.0,97.63500000000002,0.8809809873090483,-2.0193398332397283,1,1,96.129,95.723,-0.4060000000000059,0.0,-0.27300000000001035,-0.7389999999999995,0.0,-0.18299999999999983,0.1813124375215323,-0.7389999999999995,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,40,0 days 00:01:35.723000,HARD,4.0,True,0 days 02:06:15.087000,16,0 days 00:00:30.707000,0 days 00:00:41.503000,0 days 00:00:23.513000,1,95.723,7575.087,4.079999999999927,True,False,4.0,0.0,0.0,0.0,0.0,30.707,41.503,23.513,0,0,0,0.0,97.16959999999999,1.105221832936733,-1.3088775093739922,0,1,95.856,95.885,0.029000000000010573,0.0,-0.13299999999999557,-0.6313333333333352,0.0,0.04400000000000048,0.11873499905251127,-0.6313333333333352,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,41,0 days 00:01:35.885000,HARD,5.0,True,0 days 02:07:50.972000,16,0 days 00:00:30.746000,0 days 00:00:41.557000,0 days 00:00:23.582000,1,95.885,7670.972,4.8159999999998035,True,False,5.0,0.0,0.0,0.0,0.0,30.746,41.557,23.582,0,0,0,0.0,96.645,1.026982229641794,-0.7400322791028963,0,0,95.723,95.799,0.07600000000000762,0.0,0.16200000000000614,-0.6813333333333323,0.0,0.11299999999999955,0.14800608095615506,-0.6813333333333323,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,42,0 days 00:01:35.799000,HARD,6.0,True,0 days 02:09:26.771000,15,0 days 00:00:30.759000,0 days 00:00:41.498000,0 days 00:00:23.542000,1,95.799,7766.771,5.609000000000378,True,False,6.0,0.0,0.0,0.0,0.0,30.759,41.498,23.542,0,0,0,0.0,96.272,0.848483942099097,-0.5574648812207643,0,0,95.885,95.766,-0.11899999999999977,0.16200000000000614,-0.08599999999999852,-0.08133333333333326,0.0,0.0730000000000004,0.1775899771946602,-0.08133333333333326,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,43,0 days 00:01:35.766000,HARD,7.0,True,0 days 02:11:02.537000,15,0 days 00:00:30.760000,0 days 00:00:41.472000,0 days 00:00:23.534000,1,95.766,7862.537,6.5219999999999345,True,False,7.0,0.0,0.0,0.0,0.0,30.76,41.472,23.534,0,0,0,0.0,95.8784,0.15313327528665707,-0.7340011489311334,0,0,95.799,95.783,-0.016000000000005343,0.07600000000000762,-0.03300000000000125,-0.018999999999995982,0.0,0.020999999999997243,0.18670297265978394,-0.018999999999995982,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,44,0 days 00:01:35.783000,HARD,8.0,True,0 days 02:12:38.320000,15,0 days 00:00:30.683000,0 days 00:00:41.497000,0 days 00:00:23.603000,1,95.783,7958.32,7.38799999999992,True,False,8.0,0.0,0.0,0.0,0.0,30.683,41.497,23.603,0,0,0,0.0,95.8058,0.06572442468380904,-0.34690299853808226,0,0,95.766,95.758,-0.008000000000009777,0.043000000000006366,0.016999999999995907,0.014333333333335455,0.0,0.06900000000000261,0.1151512049437607,0.014333333333335455,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,45,0 days 00:01:35.758000,HARD,9.0,True,0 days 02:14:14.078000,15,0 days 00:00:30.607000,0 days 00:00:41.495000,0 days 00:00:23.656000,1,95.758,8054.078,9.678999999999178,True,False,9.0,0.0,0.0,0.0,0.0,30.607,41.495,23.656,0,0,0,0.0,95.7912,0.059608724193841466,-0.5569654517691889,0,0,95.783,96.008,0.22499999999999432,0.060000000000002274,-0.025000000000005684,-0.034000000000001286,0.0,0.12199999999999989,0.034481879299134204,-0.034000000000001286,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,46,0 days 00:01:36.008000,HARD,10.0,True,0 days 02:15:50.086000,15,0 days 00:00:30.685000,0 days 00:00:41.635000,0 days 00:00:23.688000,1,96.008,8150.086,10.64599999999973,True,False,10.0,0.0,0.0,0.0,0.0,30.685,41.635,23.688,0,0,0,0.0,95.79820000000001,0.05103626161875271,4.110802659630901,0,0,95.758,96.026,0.2680000000000007,0.0,0.25,-0.013666666666670343,0.0,0.15399999999999991,0.04032121029929613,-0.013666666666670343,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
ALB,47,0 days 00:01:36.026000,HARD,11.0,True,0 days 02:17:26.112000,15,0 days 00:00:30.827000,0 days 00:00:41.570000,0 days 00:00:23.629000,1,96.026,8246.112,11.276000000001659,True,False,11.0,0.0,0.0,0.0,0.0,30.827,41.57,23.629,0,0,0,0.0,95.8228,0.10473156162311764,1.9401983208387736,0,0,96.008,96.135,0.12700000000000955,0.25,0.018000000000000682,0.0806666666666634,0.0,0.0259999999999998,0.05144608828667219,0.0806666666666634,0,0,2024,Bahrain Grand Prix,2024_Bahrain Grand Prix
