Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_INTERMEDIATE,compound_MEDIUM,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,54,0 days 00:01:30.587000,INTERMEDIATE,10.0,True,0 days 02:48:49.126000,15.8,4,18.7,0 days 00:00:32.122000,0 days 00:00:19.072000,0 days 00:00:39.393000,1,90.587,10129.126,0.5039999999989959,False,True,False,10.0,0.0,0.0,32.122,19.072,39.393,0,0,0,0.0,90.28639999999999,4.286121300196711,0.07013333943353892,0,0,91.917,90.301,-1.6159999999999997,7.320000000000007,-1.3299999999999983,2.4400000000000026,0.0,-0.8299999999999983,3.067516210226113,2.4400000000000026,0,1,2025,Australian Grand Prix,0.0,14,0.0
ALB,55,0 days 00:01:30.301000,INTERMEDIATE,11.0,True,0 days 02:50:19.427000,15.9,4,18.7,0 days 00:00:31.820000,0 days 00:00:19.049000,0 days 00:00:39.432000,1,90.301,10219.427,0.805000000000291,False,True,False,11.0,0.0,0.0,31.82,19.049,39.432,0,0,0,0.0,90.9784,3.911443953324653,-0.17318412537247643,0,0,90.587,90.298,-0.2890000000000015,5.990000000000009,-0.28600000000000136,-0.7359999999999994,0.0,0.03900000000000148,2.641455621432998,-0.7359999999999994,0,1,2025,Australian Grand Prix,0.0,14,0.0
ALB,56,0 days 00:01:30.298000,INTERMEDIATE,12.0,True,0 days 02:51:49.725000,16.1,5,18.7,0 days 00:00:31.241000,0 days 00:00:18.867000,0 days 00:00:40.190000,1,90.298,10309.725,3.6270000000004075,False,True,False,12.0,0.0,0.0,31.241,18.867,40.19,0,0,0,0.0,92.1192,1.8991482827836428,-0.9589561892084661,0,0,90.301,89.944,-0.3569999999999993,0.0,-0.0030000000000001137,-1.5649999999999977,0.0,0.796999999999997,2.6083723277170354,-1.5649999999999977,0,0,2025,Australian Grand Prix,0.0,14,0.0
ALO,8,0 days 00:01:38.354000,INTERMEDIATE,8.0,True,0 days 01:29:50.851000,15.9,10,19.1,0 days 00:00:35.634000,0 days 00:00:20.573000,0 days 00:00:42.147000,1,98.354,5390.851,2.2490000000007058,False,True,False,8.0,0.0,0.0,35.634,20.573,42.147,0,0,0,0.0,90.60940000000001,0.7656953049352869,10.114467138667553,0,0,98.354,96.267,-2.0870000000000033,8.409999999999997,0.0,-0.21433333333333357,0.0,2.7149999999999963,1.574163047463633,0.0,0,0,2025,Australian Grand Prix,0.0,14,0.0
ALO,9,0 days 00:01:36.267000,INTERMEDIATE,9.0,True,0 days 01:31:27.118000,15.9,10,19.1,0 days 00:00:34.756000,0 days 00:00:20.098000,0 days 00:00:41.413000,1,96.267,5487.118,2.2349999999996726,False,True,False,9.0,0.0,0.0,34.756,20.098,41.413,0,0,0,0.0,,,0.0,0,0,98.354,95.569,-2.7849999999999966,0.0,-2.0870000000000033,0.0,0.0,0.0,0.0,0.0,0,0,2025,Australian Grand Prix,0.0,14,0.0
ALO,10,0 days 00:01:35.569000,INTERMEDIATE,10.0,True,0 days 01:33:02.687000,15.9,10,19.1,0 days 00:00:34.310000,0 days 00:00:19.907000,0 days 00:00:41.352000,1,95.569,5582.687,1.8060000000004948,False,True,False,10.0,0.0,0.0,34.31,19.907,41.352,0,0,0,0.0,,,0.0,0,0,96.267,95.3,-0.9669999999999987,0.0,-0.6979999999999933,-1.0435000000000016,0.0,-0.06099999999999994,0.0,0.0,0,0,2025,Australian Grand Prix,0.0,14,0.0
ALO,11,0 days 00:01:35.300000,INTERMEDIATE,11.0,True,0 days 01:34:37.987000,16.0,10,19.1,0 days 00:00:34.107000,0 days 00:00:19.760000,0 days 00:00:41.433000,1,95.3,5677.987,1.4780000000000655,False,True,False,11.0,0.0,0.0,34.107,19.76,41.433,0,0,0,0.0,96.73,1.4490800529991357,-0.9868329889990279,0,0,95.569,94.076,-1.4930000000000092,0.0,-0.26900000000000546,-0.9283333333333322,0.0,0.08100000000000307,1.585408569843536,-1.3924999999999983,0,0,2025,Australian Grand Prix,0.0,14,0.0
ALO,12,0 days 00:01:34.076000,INTERMEDIATE,12.0,True,0 days 01:36:12.063000,15.9,10,19.3,0 days 00:00:33.625000,0 days 00:00:19.675000,0 days 00:00:40.776000,1,94.076,5772.063,1.8279999999995198,False,True,False,12.0,0.0,0.0,33.625,19.675,40.776,0,0,0,0.0,96.3725,1.382430347853607,-1.6612048509826243,1,0,95.3,93.515,-1.7849999999999966,0.0,-1.2240000000000038,-1.0180000000000007,0.0,-0.5759999999999934,1.3554151578022113,-1.0180000000000007,0,0,2025,Australian Grand Prix,0.0,14,0.0
ALO,13,0 days 00:01:33.515000,INTERMEDIATE,13.0,True,0 days 01:37:45.578000,16.0,10,19.3,0 days 00:00:33.419000,0 days 00:00:19.468000,0 days 00:00:40.628000,1,93.515,5865.578,2.2119999999995343,False,True,False,13.0,0.0,0.0,33.419,19.468,40.628,0,0,0,0.0,95.91319999999999,1.5773768414681315,-1.520372264225638,1,1,94.076,92.664,-1.411999999999992,0.0,-0.5609999999999928,-0.7303333333333342,0.0,-0.14800000000000324,1.3020202379379484,-0.7303333333333342,0,0,2025,Australian Grand Prix,0.0,14,0.0
ALO,14,0 days 00:01:32.664000,INTERMEDIATE,14.0,True,0 days 01:39:18.242000,16.0,10,19.3,0 days 00:00:32.924000,0 days 00:00:19.455000,0 days 00:00:40.285000,1,92.664,5958.242,2.644999999999527,False,True,False,14.0,0.0,0.0,32.924,19.455,40.285,0,0,0,0.0,94.94539999999999,1.1250716866048809,-2.027781897955811,1,1,93.515,92.324,-1.1910000000000025,0.0,-0.8509999999999991,-0.6846666666666673,0.0,-0.3430000000000035,0.25731245597521885,-0.6846666666666673,0,0,2025,Australian Grand Prix,0.0,14,0.0
