Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_nan,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,42,0 days 00:01:31.389000,HARD,10.0,True,0 days 02:04:12.400000,26.1,5,34.9,0 days 00:00:30.812000,0 days 00:00:34.851000,0 days 00:00:25.726000,1,91.389,7452.4,3.34900000000016,True,False,False,10.0,0.0,0.0,30.812,34.851,25.726,0,0,0,0.0,91.1962,0.16447249010163145,1.1722325106214146,0,0,90.975,91.172,0.19700000000000273,0.0,0.4140000000000015,-0.12933333333333508,0.0,0.1059999999999981,0.0500729467876625,-0.12933333333333508,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,43,0 days 00:01:31.172000,HARD,11.0,True,0 days 02:05:43.572000,26.0,5,35.2,0 days 00:00:30.767000,0 days 00:00:34.727000,0 days 00:00:25.678000,1,91.172,7543.572,3.7929999999996653,True,False,False,11.0,0.0,0.0,30.767,34.727,25.678,0,0,0,0.0,91.2518,0.17511481947632668,-0.4557010094213861,0,0,91.389,91.169,-0.21999999999999886,0.4140000000000015,-0.21699999999999875,0.012666666666665568,0.0,0.022000000000002018,0.047900939447990065,0.012666666666665568,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,44,0 days 00:01:31.169000,HARD,12.0,True,0 days 02:07:14.741000,26.0,5,35.6,0 days 00:00:30.661000,0 days 00:00:34.798000,0 days 00:00:25.710000,1,91.169,7634.741,3.8109999999996944,True,False,False,12.0,0.0,0.0,30.661,34.798,25.71,0,0,0,0.0,91.2136,0.16535356059132802,-0.2697250657349418,0,0,91.172,91.122,-0.04999999999999716,0.19700000000000273,-0.0030000000000001137,-0.0030000000000001137,0.0,0.054000000000002046,0.04126984371184273,-0.0030000000000001137,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,45,0 days 00:01:31.122000,HARD,13.0,True,0 days 02:08:45.863000,26.0,5,35.8,0 days 00:00:30.691000,0 days 00:00:34.776000,0 days 00:00:25.655000,1,91.122,7725.863,4.114999999999782,True,False,False,13.0,0.0,0.0,30.691,34.776,25.655,0,0,0,0.0,91.1772,0.1465032422857389,-0.37678347003636653,0,0,91.169,91.073,-0.09600000000000364,0.19400000000000261,-0.046999999999997044,0.06466666666666754,0.0,-0.022999999999999687,0.032391356871855986,0.06466666666666754,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,46,0 days 00:01:31.073000,HARD,14.0,True,0 days 02:10:16.936000,26.0,5,35.4,0 days 00:00:30.741000,0 days 00:00:34.674000,0 days 00:00:25.658000,1,91.073,7816.936,4.6140000000004875,True,False,False,14.0,0.0,0.0,30.741,34.674,25.658,0,0,0,0.0,91.1654,0.1484833323987418,-0.6222920681216809,0,0,91.122,91.012,-0.10999999999999943,0.14700000000000557,-0.049000000000006594,-0.08899999999999864,0.0,0.0030000000000001137,0.047053161424073564,-0.08899999999999864,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,47,0 days 00:01:31.012000,HARD,15.0,True,0 days 02:11:47.948000,26.1,5,35.3,0 days 00:00:30.633000,0 days 00:00:34.729000,0 days 00:00:25.650000,1,91.012,7907.948,4.976999999999862,True,False,False,15.0,0.0,0.0,30.633,34.729,25.65,0,0,0,0.0,91.185,0.12098966898141555,-1.4298741492265363,0,0,91.073,91.055,-0.01799999999998647,0.0,-0.06099999999999284,-0.03300000000000125,0.0,-0.005000000000002558,0.04981264899601232,-0.03300000000000125,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,48,0 days 00:01:31.055000,HARD,16.0,True,0 days 02:13:19.003000,26.0,5,35.3,0 days 00:00:30.742000,0 days 00:00:34.680000,0 days 00:00:25.633000,1,91.055,7999.003,4.994000000000597,True,False,False,16.0,0.0,0.0,30.742,34.68,25.633,0,0,0,0.0,91.1096,0.06789918998221889,-0.8041333043043949,0,0,91.012,90.839,-0.17300000000000182,0.0,0.043000000000006366,-0.052333333333332156,0.0,-0.01699999999999946,0.02933768907054656,-0.052333333333332156,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,49,0 days 00:01:30.839000,HARD,17.0,True,0 days 02:14:49.842000,26.0,5,35.0,0 days 00:00:30.546000,0 days 00:00:34.655000,0 days 00:00:25.638000,1,90.839,8089.842,5.286000000000058,True,False,False,17.0,0.0,0.0,30.546,34.655,25.638,0,0,0,0.0,91.08619999999999,0.060808716482457795,-4.065206672653665,1,0,91.055,90.95,-0.10500000000000398,0.043000000000006366,-0.21600000000000819,-0.022333333333331023,0.0,0.005000000000002558,0.030574499178237565,-0.022333333333331023,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,50,0 days 00:01:30.950000,HARD,18.0,True,0 days 02:16:20.792000,26.0,5,35.1,0 days 00:00:30.514000,0 days 00:00:34.738000,0 days 00:00:25.698000,1,90.95,8180.792,5.281999999999243,True,False,False,18.0,0.0,0.0,30.514,34.738,25.698,0,0,0,0.0,91.0202,0.10870004599930846,-0.6458138941399015,0,1,90.839,90.687,-0.15200000000000102,0.0,0.1110000000000042,-0.07799999999999822,0.0,0.06500000000000128,0.012280065146407195,-0.07799999999999822,0,0,2025,Miami Grand Prix,0.0,19,0.0
ALB,51,0 days 00:01:30.687000,HARD,19.0,True,0 days 02:17:51.479000,26.0,5,34.9,0 days 00:00:30.422000,0 days 00:00:34.613000,0 days 00:00:25.652000,1,90.687,8271.479,5.56000000000131,True,False,False,19.0,0.0,0.0,30.422,34.613,25.652,0,0,0,0.0,90.98580000000001,0.09475072559223724,-3.15353785559289,1,0,90.95,90.684,-0.26600000000000534,0.1110000000000042,-0.26300000000000523,-0.020666666666665872,0.0,0.019000000000001904,0.031830802691732996,-0.020666666666665872,0,0,2025,Miami Grand Prix,0.0,19,0.0
