Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_MEDIUM,compound_SOFT,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALO,36,0 days 00:01:15.944000,MEDIUM,11.0,True,0 days 02:15:29.742000,20.3,3,47.3,0 days 00:00:19.523000,0 days 00:00:39.020000,0 days 00:00:17.401000,1,75.944,8129.742,1.2420000000001892,True,False,11.0,0.0,0.0,19.523,39.02,17.401,0,0,0,0.0,75.9058,0.1524621264444551,0.2505540286683614,0,1,75.721,75.701,-0.020000000000010232,0.0,0.22299999999999898,-0.10233333333333405,0.0,0.054999999999999716,0.06499769226672583,-0.10233333333333405,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,37,0 days 00:01:15.701000,MEDIUM,12.0,True,0 days 02:16:45.443000,20.4,3,47.4,0 days 00:00:19.498000,0 days 00:00:38.913000,0 days 00:00:17.290000,1,75.701,8205.443,1.603000000000975,True,False,12.0,0.0,0.0,19.498,38.913,17.29,0,0,0,0.0,75.8756,0.1162768248619096,-1.5015889899588102,1,0,75.944,75.949,0.0049999999999954525,0.22299999999999898,-0.2430000000000092,0.036000000000001364,0.0,-0.05600000000000094,0.06025529022417806,0.036000000000001364,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,38,0 days 00:01:15.949000,MEDIUM,13.0,True,0 days 02:18:01.392000,20.5,3,47.5,0 days 00:00:19.427000,0 days 00:00:39.129000,0 days 00:00:17.393000,1,75.949,8281.392,1.6820000000006985,True,False,13.0,0.0,0.0,19.427,39.129,17.393,0,0,0,0.0,75.8102,0.0999434840295842,1.3887848852549234,0,1,75.701,76.015,0.31400000000000716,0.0,0.24800000000000466,-0.04933333333333678,0.0,0.10300000000000153,0.05870860243609878,-0.04933333333333678,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,39,0 days 00:01:16.015000,MEDIUM,14.0,True,0 days 02:19:17.407000,20.5,3,47.5,0 days 00:00:19.468000,0 days 00:00:39.144000,0 days 00:00:17.403000,1,76.015,8357.407,1.7930000000014843,True,False,14.0,0.0,0.0,19.468,39.144,17.403,0,0,0,0.0,75.83279999999999,0.11832244081310088,1.5398600531559967,0,0,75.949,76.07,0.12099999999999511,0.24800000000000466,0.0660000000000025,0.07599999999999814,0.0,0.11299999999999955,0.06350039369956773,0.07599999999999814,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,40,0 days 00:01:16.070000,MEDIUM,15.0,True,0 days 02:20:33.477000,20.4,3,47.0,0 days 00:00:19.448000,0 days 00:00:39.121000,0 days 00:00:17.501000,1,76.07,8433.477,2.1379999999990105,True,False,15.0,0.0,0.0,19.448,39.121,17.501,0,0,0,0.0,75.866,0.14441606558817216,1.4125852215205437,0,0,76.015,76.136,0.12099999999999511,0.31400000000000716,0.05499999999999261,0.023666666666665986,0.0,0.21100000000000207,0.07552946444931345,0.023666666666665986,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,41,0 days 00:01:16.136000,MEDIUM,16.0,True,0 days 02:21:49.613000,20.5,3,46.6,0 days 00:00:19.546000,0 days 00:00:39.169000,0 days 00:00:17.421000,1,76.136,8509.613,2.0799999999999272,True,False,16.0,0.0,0.0,19.546,39.169,17.421,0,0,0,0.0,75.9358,0.1411159098045359,1.4186919127495874,0,0,76.07,76.262,0.19200000000000728,0.3689999999999998,0.0660000000000025,0.12299999999999993,0.0,0.027999999999998693,0.09716583761796226,0.12299999999999993,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,42,0 days 00:01:16.262000,MEDIUM,17.0,True,0 days 02:23:05.875000,20.5,3,47.1,0 days 00:00:19.593000,0 days 00:00:39.163000,0 days 00:00:17.506000,1,76.262,8585.875,1.8559999999997672,True,False,17.0,0.0,0.0,19.593,39.163,17.506,0,0,0,0.0,75.9742,0.1675520814551676,1.7176748716011134,0,0,76.136,75.773,-0.36299999999999955,0.4350000000000023,0.12600000000000477,0.06233333333333254,0.0,0.10300000000000153,0.09997349648782043,0.06233333333333254,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,43,0 days 00:01:15.773000,MEDIUM,18.0,True,0 days 02:24:21.648000,20.5,3,46.9,0 days 00:00:19.369000,0 days 00:00:38.845000,0 days 00:00:17.559000,1,75.773,8661.648,2.3910000000014406,True,False,18.0,0.0,0.0,19.369,38.845,17.559,0,0,0,0.0,76.0864,0.11993873436030157,-2.613000726341944,1,0,76.262,75.836,-0.42600000000000193,0.3130000000000024,-0.4890000000000043,0.0823333333333333,0.0,0.13800000000000168,0.06522882798272667,0.0823333333333333,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,44,0 days 00:01:15.836000,MEDIUM,19.0,True,0 days 02:25:37.484000,20.3,3,47.1,0 days 00:00:19.381000,0 days 00:00:38.801000,0 days 00:00:17.654000,1,75.836,8737.484,2.9239999999990687,True,False,19.0,0.0,0.0,19.381,38.801,17.654,0,0,0,0.0,76.0512,0.18075314658382394,-1.1905740180307027,0,1,75.773,75.912,0.13900000000001,0.0,0.06300000000000239,-0.09899999999999902,0.0,0.23300000000000054,0.0659492228915562,-0.09899999999999902,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,45,0 days 00:01:15.912000,MEDIUM,20.0,True,0 days 02:26:53.396000,20.3,3,47.1,0 days 00:00:19.405000,0 days 00:00:38.907000,0 days 00:00:17.600000,1,75.912,8813.396,3.3319999999985157,True,False,20.0,0.0,0.0,19.405,38.907,17.6,0,0,0,0.0,76.0154,0.2057177678275625,-0.502630380894789,0,0,75.836,75.74,-0.09600000000000364,0.06300000000000239,0.07600000000000762,-0.09999999999999905,0.0,0.0940000000000012,0.08302589957356762,-0.09999999999999905,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,46,0 days 00:01:15.740000,MEDIUM,21.0,True,0 days 02:28:09.136000,20.3,3,46.8,0 days 00:00:19.335000,0 days 00:00:38.780000,0 days 00:00:17.625000,1,75.74,8889.136,9.05199999999968,True,False,21.0,0.0,0.0,19.335,38.78,17.625,0,0,0,0.0,75.9838,0.2073624845529103,-1.1757189374233203,0,0,75.912,75.582,-0.3300000000000125,0.13900000000001,-0.17200000000001125,-0.11666666666666477,0.0,0.06599999999999895,0.07503132679088169,-0.11666666666666477,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,49,0 days 00:01:15.582000,SOFT,2.0,True,0 days 02:32:17.807000,20.2,5,45.4,0 days 00:00:19.495000,0 days 00:00:38.669000,0 days 00:00:17.418000,1,75.582,9137.807,2.694999999999709,False,True,2.0,0.0,0.0,19.495,38.669,17.418,0,0,0,0.0,75.90459999999999,0.2103016880577991,-1.5339867358141754,1,0,75.74,75.783,0.043000000000006366,0.0,-0.15800000000000125,-0.011000000000000417,0.0,-0.18200000000000216,0.06469698601944324,-0.011000000000000417,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,50,0 days 00:01:15.783000,SOFT,3.0,True,0 days 02:33:33.590000,20.3,5,43.2,0 days 00:00:19.437000,0 days 00:00:38.929000,0 days 00:00:17.417000,1,75.783,9213.59,2.2520000000004075,False,True,3.0,0.0,0.0,19.437,38.929,17.417,0,0,0,0.0,75.76859999999999,0.12325096348494075,0.11683478646208326,0,1,75.582,75.39,-0.19199999999999307,0.0,0.20100000000000762,-0.08466666666666829,0.0,-0.0009999999999976694,0.15434442004815202,-0.08466666666666829,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
ALO,51,0 days 00:01:15.390000,SOFT,4.0,True,0 days 02:34:48.980000,20.3,5,42.5,0 days 00:00:19.329000,0 days 00:00:38.699000,0 days 00:00:17.362000,1,75.39,9288.98,1.640000000001237,False,True,4.0,0.0,0.0,19.329,38.699,17.362,0,0,0,0.0,75.7706,0.12342122994025836,-3.083748235082646,1,0,75.783,75.345,-0.4380000000000024,0.20100000000000762,-0.3930000000000007,-0.04300000000000163,0.0,-0.05500000000000327,0.1514810219136386,-0.04300000000000163,0,0,2023,São Paulo Grand Prix,0.0,15,0.0
