Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_INTERMEDIATE,compound_MEDIUM,compound_None,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
ALB,37,0 days 00:01:47.214000,MEDIUM,25.0,True,0 days 03:28:06.350000,17.2,6,23.1,0 days 00:00:31.098000,0 days 00:00:47.383000,0 days 00:00:28.733000,1,107.214,12486.35,0.8959999999988213,False,False,True,False,25.0,0.0,0.0,31.098,47.383,28.733,0,0,0,0.0,107.13,0.17209299811614498,0.48810817941187745,0,1,106.901,106.813,-0.08799999999999386,0.0,0.3130000000000024,-0.1033333333333341,0.0,0.11200000000000188,0.06796175395029694,-0.1033333333333341,0,1,2025,Belgian Grand Prix,0.0,19,0.0
ALB,38,0 days 00:01:46.813000,MEDIUM,26.0,True,0 days 03:29:53.163000,17.1,6,23.0,0 days 00:00:30.961000,0 days 00:00:47.189000,0 days 00:00:28.663000,1,106.813,12593.163,1.2579999999998108,False,False,True,False,26.0,0.0,0.0,30.961,47.189,28.663,0,0,0,0.0,107.147,0.1761206972522008,-1.896426741496048,1,0,107.214,106.848,-0.36599999999999966,0.3130000000000024,-0.40099999999999625,-0.048666666666666934,0.0,0.04200000000000159,0.08134371518439992,-0.048666666666666934,0,0,2025,Belgian Grand Prix,0.0,19,0.0
ALB,39,0 days 00:01:46.848000,MEDIUM,27.0,True,0 days 03:31:40.011000,17.1,6,22.9,0 days 00:00:30.888000,0 days 00:00:47.309000,0 days 00:00:28.651000,1,106.848,12700.011,1.1999999999989086,False,False,True,False,27.0,0.0,0.0,30.888,47.309,28.651,0,0,0,0.0,107.06739999999999,0.22352471899235324,-0.9815469223674488,0,1,106.813,106.815,0.001999999999995339,0.0,0.03499999999999659,-0.07866666666666806,0.0,0.030000000000001137,0.08142296973213871,-0.07866666666666806,0,0,2025,Belgian Grand Prix,0.0,19,0.0
ALB,40,0 days 00:01:46.815000,MEDIUM,28.0,True,0 days 03:33:26.826000,17.1,6,22.4,0 days 00:00:30.880000,0 days 00:00:47.279000,0 days 00:00:28.656000,1,106.815,12806.826,1.4110000000000582,False,False,True,False,28.0,0.0,0.0,30.88,47.279,28.656,0,0,0,0.0,106.965,0.16579053049141093,-0.9047561374910776,0,0,106.848,107.03,0.18200000000000216,0.03499999999999659,-0.03300000000000125,-0.01766666666666576,0.0,0.004999999999999005,0.07088511832536344,-0.01766666666666576,0,0,2025,Belgian Grand Prix,0.0,19,0.0
ALB,41,0 days 00:01:47.030000,MEDIUM,29.0,True,0 days 03:35:13.856000,17.1,6,22.5,0 days 00:00:31.127000,0 days 00:00:47.172000,0 days 00:00:28.731000,1,107.03,12913.856,1.256999999999607,False,False,True,False,29.0,0.0,0.0,31.127,47.172,28.731,0,0,0,0.0,106.9182,0.1691440214746847,0.6609751797626209,0,0,106.815,106.887,0.07200000000000273,0.001999999999995339,0.2150000000000034,-0.1330000000000003,0.0,0.08000000000000185,0.06828835918369076,-0.1330000000000003,0,0,2025,Belgian Grand Prix,0.0,19,0.0
ALB,42,0 days 00:01:46.887000,MEDIUM,30.0,True,0 days 03:37:00.743000,17.0,6,22.5,0 days 00:00:30.966000,0 days 00:00:47.228000,0 days 00:00:28.693000,1,106.887,13020.743,1.331000000000131,False,False,True,False,30.0,0.0,0.0,30.966,47.228,28.693,0,0,0,0.0,106.944,0.1755804658856609,-0.32463748010055354,0,0,107.03,106.883,-0.14700000000000557,0.21699999999999875,-0.14300000000000068,0.07233333333333292,0.0,0.04200000000000159,0.04231075513389761,0.07233333333333292,0,0,2025,Belgian Grand Prix,0.0,19,0.0
ALB,43,0 days 00:01:46.883000,MEDIUM,31.0,True,0 days 03:38:47.626000,16.9,6,22.3,0 days 00:00:30.948000,0 days 00:00:47.269000,0 days 00:00:28.666000,1,106.883,13127.626,0.9819999999999709,False,False,True,False,31.0,0.0,0.0,30.948,47.269,28.666,0,0,0,0.0,106.8786,0.08982928253433244,0.04898180054269142,0,0,106.887,107.252,0.3649999999999949,0.07399999999999807,-0.0040000000000048885,0.013000000000000492,0.0,0.010000000000001563,0.02707766607373344,0.013000000000000492,0,1,2025,Belgian Grand Prix,0.0,19,0.0
ALO,5,0 days 00:02:02.826000,INTERMEDIATE,5.0,True,0 days 02:28:39.970000,17.4,20,25.6,0 days 00:00:33.664000,0 days 00:00:56.932000,0 days 00:00:32.230000,1,122.826,8919.97,0.0,False,True,False,False,5.0,0.0,0.0,33.664,56.932,32.23,0,0,0,0.0,106.9734,0.17431953419116838,90.9398942210066,0,0,122.826,122.757,-0.0689999999999884,16.010999999999996,0.0,0.07399999999999807,0.0,3.5639999999999965,0.03166543857268654,0.0,0,0,2025,Belgian Grand Prix,0.0,19,0.0
ALO,6,0 days 00:02:02.757000,INTERMEDIATE,6.0,True,0 days 02:30:42.727000,17.4,20,25.8,0 days 00:00:33.986000,0 days 00:00:56.899000,0 days 00:00:31.872000,1,122.757,9042.727,0.0,False,True,False,False,6.0,0.0,0.0,33.986,56.899,31.872,0,0,0,0.0,,,0.0,0,0,122.826,123.279,0.45300000000000296,0.0,-0.0689999999999884,0.0,0.0,0.0,0.0,0.0,0,0,2025,Belgian Grand Prix,0.0,19,0.0
ALO,7,0 days 00:02:03.279000,INTERMEDIATE,7.0,True,0 days 02:32:46.006000,17.5,20,25.5,0 days 00:00:33.499000,0 days 00:00:57.385000,0 days 00:00:32.395000,1,123.279,9166.006,0.0,False,True,False,False,7.0,0.0,0.0,33.499,57.385,32.395,0,0,0,0.0,,,0.0,0,0,122.757,123.891,1.1340000000000003,0.0,0.5219999999999914,-0.0344999999999942,0.0,0.5230000000000032,0.0,0.0,0,0,2025,Belgian Grand Prix,0.0,19,0.0
