Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,AirTemp,Position,TrackTemp,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_INTERMEDIATE,compound_WET,TyreAge,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,TrackLengthKm,TrackCorners,TrackAvgSpeedKph
BOT,23,0 days 00:01:51.041000,INTERMEDIATE,17.0,True,0 days 03:56:33.052000,15.9,14,18.3,0 days 00:00:40.006000,0 days 00:00:49.964000,0 days 00:00:21.071000,1,111.041,14193.052,3.3289999999997235,True,False,17.0,0.0,0.0,40.006,49.964,21.071,0,0,0,0.0,110.57820000000001,0.3435093885178318,1.3472703089626412,0,0,111.033,111.137,0.1039999999999992,0.7879999999999967,0.007999999999995566,0.25100000000000006,0.0,-0.09699999999999775,0.10274385626401213,0.25100000000000006,0,0,2022,Japanese Grand Prix,0.0,18,0.0
BOT,24,0 days 00:01:51.137000,INTERMEDIATE,18.0,True,0 days 03:58:24.189000,15.9,14,18.3,0 days 00:00:40.381000,0 days 00:00:49.177000,0 days 00:00:21.579000,1,111.137,14304.189,0.11099999999896681,True,False,18.0,0.0,0.0,40.381,49.177,21.579,0,0,0,0.0,110.62159999999999,0.3925376415070164,1.3129951003458131,0,0,111.041,111.252,0.21099999999999852,0.7959999999999923,0.09600000000000364,0.17733333333333215,0.0,0.5079999999999991,0.08959185230811897,0.17733333333333215,0,1,2022,Japanese Grand Prix,0.0,18,0.0
BOT,25,0 days 00:01:51.252000,INTERMEDIATE,19.0,True,0 days 04:00:15.441000,15.9,15,18.2,0 days 00:00:41.170000,0 days 00:00:48.962000,0 days 00:00:21.120000,1,111.252,14415.441,0.9110000000000582,True,False,19.0,0.0,0.0,41.17,48.962,21.12,0,0,0,0.0,110.793,0.3931920650265951,1.1673684207460868,0,0,111.137,110.481,-0.6560000000000059,0.8919999999999959,0.11499999999999488,0.29733333333333195,0.0,0.04899999999999949,0.2241434808331473,0.29733333333333195,0,1,2022,Japanese Grand Prix,0.0,18,0.0
BOT,26,0 days 00:01:50.481000,INTERMEDIATE,20.0,True,0 days 04:02:05.922000,15.9,15,18.2,0 days 00:00:40.470000,0 days 00:00:49.007000,0 days 00:00:21.004000,1,110.481,14525.922,0.7729999999992287,True,False,20.0,0.0,0.0,40.47,49.007,21.004,0,0,0,0.0,110.9416,0.3993792683651266,-1.1532897085156226,0,0,111.252,110.336,-0.9159999999999968,1.0069999999999908,-0.7710000000000008,0.07299999999999802,0.0,-0.06700000000000017,0.22753087702551378,0.07299999999999802,0,1,2022,Japanese Grand Prix,0.0,18,0.0
BOT,27,0 days 00:01:50.336000,INTERMEDIATE,21.0,True,0 days 04:03:56.258000,15.9,15,18.2,0 days 00:00:40.340000,0 days 00:00:48.792000,0 days 00:00:21.204000,1,110.336,14636.258,0.8170000000009168,True,False,21.0,0.0,0.0,40.34,48.792,21.204,0,0,0,0.0,110.9888,0.297395696000906,-2.1950553043579033,1,0,110.481,110.089,-0.3919999999999959,0.0,-0.14499999999999602,-0.18666666666666742,0.0,0.1999999999999993,0.24365036425172765,-0.18666666666666742,0,1,2022,Japanese Grand Prix,0.0,18,0.0
GAS,6,0 days 00:01:57.895000,WET,4.0,True,0 days 03:24:55.697000,15.9,15,18.5,0 days 00:00:43.020000,0 days 00:00:51.434000,0 days 00:00:23.441000,1,117.895,12295.697,0.0,False,True,4.0,0.0,0.0,43.02,51.434,23.441,0,0,0,0.0,110.65899999999999,0.5101583087629641,14.183832500044769,0,0,117.895,109.38,-8.515,7.805999999999997,0.0,-0.38766666666666555,0.0,2.437999999999999,0.2291346765550774,0.0,0,0,2022,Japanese Grand Prix,0.0,18,0.0
GAS,9,0 days 00:01:49.380000,INTERMEDIATE,2.0,True,0 days 03:30:54.627000,15.9,18,18.4,0 days 00:00:39.565000,0 days 00:00:48.598000,0 days 00:00:21.217000,1,109.38,12654.627,0.0,True,False,2.0,0.0,0.0,39.565,48.598,21.217,0,0,0,0.0,,,0.0,0,0,117.895,108.87,-9.024999999999991,0.0,-8.515,0.0,0.0,0.0,0.0,0.0,0,0,2022,Japanese Grand Prix,0.0,18,0.0
GAS,10,0 days 00:01:48.870000,INTERMEDIATE,3.0,True,0 days 03:32:43.497000,15.8,17,18.2,0 days 00:00:39.998000,0 days 00:00:48.081000,0 days 00:00:20.791000,1,108.87,12763.497,0.0,True,False,3.0,0.0,0.0,39.998,48.081,20.791,0,0,0,0.0,,,0.0,0,0,109.38,107.854,-1.5259999999999962,0.0,-0.5099999999999909,-4.2575,0.0,-0.4259999999999984,0.0,0.0,0,0,2022,Japanese Grand Prix,0.0,18,0.0
GAS,11,0 days 00:01:47.854000,INTERMEDIATE,4.0,True,0 days 03:34:31.351000,15.9,17,18.2,0 days 00:00:39.201000,0 days 00:00:48.128000,0 days 00:00:20.525000,1,107.854,12871.351,4.691999999999098,True,False,4.0,0.0,0.0,39.201,48.128,20.525,0,0,0,0.0,112.04833333333333,5.069778923516613,-0.8273207563110002,0,0,108.87,109.115,0.24499999999999034,0.0,-1.0160000000000053,-3.0083333333333306,0.0,-0.2660000000000018,1.5453055792733454,-4.512499999999996,0,0,2022,Japanese Grand Prix,0.0,18,0.0
GAS,12,0 days 00:01:49.115000,INTERMEDIATE,5.0,True,0 days 03:36:20.466000,15.9,16,18.3,0 days 00:00:39.487000,0 days 00:00:48.784000,0 days 00:00:20.844000,1,109.115,12980.466,2.3249999999989086,True,False,5.0,0.0,0.0,39.487,48.784,20.844,0,0,0,0.0,110.99975,4.6403893784178605,-0.40616203648035587,0,0,107.854,109.131,1.277000000000001,0.0,1.2609999999999957,-3.346999999999999,0.0,0.3190000000000026,1.3458512795501087,-3.346999999999999,0,0,2022,Japanese Grand Prix,0.0,18,0.0
