Driver,LapNumber,LapTime,Compound,TyreLife,IsAccurate,Time,Position,Sector1Time,Sector2Time,Sector3Time,TrackStatus,LapTimeSec,RaceTimeSec,GapBehindSec,compound_HARD,compound_MEDIUM,compound_None,compound_SOFT,TyreAge,AirTemp,TrackTemp,GapToLeaderSec,GapAheadSec,Sector1Sec,Sector2Sec,Sector3Sec,IsSC,IsVSC,IsYellow,AEBI,LapTime_roll_mean,LapTime_roll_std,LapTime_z,LapSpikeFast,PrevLapSpikeFast,PrevLapTimeSec,NextLapTimeSec,DeltaNextLapSec,PushIndex,TyreDegRate,TyreDegSmooth,DeltaGapAhead,ERSProxy,ERSVolatility,PushTrend,IsDRSRange,IsUnderAttack,Season,RaceName,RaceKey
ALB,39,0 days 00:01:18.441000,HARD,27.0,True,0 days 01:57:05.237000,7,0 days 00:00:22.019000,0 days 00:00:24.837000,0 days 00:00:31.585000,1,78.441,7025.237,3.036000000000058,True,False,False,False,27.0,0.0,0.0,0.0,0.0,22.019,24.837,31.585,0,0,0,0.0,78.1224,0.24695201963134003,1.2901291533295518,0,1,77.782,78.091,0.3089999999999975,0.0,0.659000000000006,-0.21466666666666848,0.0,0.495000000000001,0.05288950746603746,-0.21466666666666848,0,0,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,40,0 days 00:01:18.091000,HARD,28.0,True,0 days 01:58:23.328000,7,0 days 00:00:22.003000,0 days 00:00:25.024000,0 days 00:00:31.064000,1,78.091,7103.328,2.589999999999236,True,False,False,False,28.0,0.0,0.0,0.0,0.0,22.003,25.024,31.064,0,0,0,0.0,78.15639999999999,0.28177349059129103,-0.23210132316832702,0,0,78.441,78.003,-0.4380000000000024,0.659000000000006,-0.3500000000000085,0.14533333333333567,0.0,-0.0730000000000004,0.1987956236942863,0.14533333333333567,0,0,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,41,0 days 00:01:18.003000,HARD,29.0,True,0 days 01:59:41.331000,7,0 days 00:00:22.062000,0 days 00:00:24.805000,0 days 00:00:31.136000,1,78.003,7181.331,2.4049999999997453,True,False,False,False,29.0,0.0,0.0,0.0,0.0,22.062,24.805,31.136,0,0,0,0.0,78.0894,0.2380825487094678,-0.3628993408728648,0,0,78.091,77.724,-0.3669999999999902,0.3089999999999975,-0.08799999999999386,-0.01233333333333538,0.0,0.07199999999999918,0.22305156354529396,-0.01233333333333538,0,0,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,42,0 days 00:01:17.724000,HARD,30.0,True,0 days 02:00:59.055000,7,0 days 00:00:21.898000,0 days 00:00:24.836000,0 days 00:00:30.990000,1,77.724,7259.055,2.356999999999971,True,False,False,False,30.0,0.0,0.0,0.0,0.0,21.898,24.836,30.99,0,0,0,0.0,78.089,0.23826141105935697,-1.5319308249587429,1,0,78.003,77.673,-0.3299999999999983,0.22100000000000364,-0.27899999999999636,0.07366666666666788,0.0,-0.07400000000000162,0.21684556716705156,0.07366666666666788,0,0,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,43,0 days 00:01:17.673000,HARD,31.0,True,0 days 02:02:16.728000,7,0 days 00:00:21.910000,0 days 00:00:24.785000,0 days 00:00:30.978000,1,77.673,7336.728,2.0770000000002256,True,False,False,False,31.0,0.0,0.0,0.0,0.0,21.91,24.785,30.978,0,0,0,0.0,78.0082,0.2855410653478573,-1.173911708957332,0,1,77.724,77.554,-0.1700000000000017,0.0,-0.05100000000000193,-0.23899999999999957,0.0,-0.011999999999996902,0.23342600540642514,-0.23899999999999957,0,0,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,44,0 days 00:01:17.554000,HARD,32.0,True,0 days 02:03:34.282000,7,0 days 00:00:21.852000,0 days 00:00:24.719000,0 days 00:00:30.983000,1,77.554,7414.282,1.6199999999998909,True,False,False,False,32.0,0.0,0.0,0.0,0.0,21.852,24.719,30.983,0,0,0,0.0,77.9864,0.3102221784463312,-1.3938397382339538,0,0,77.673,77.655,-0.018000000000000682,0.0,-0.11899999999999977,-0.13933333333333073,0.0,0.004999999999999005,0.23867614040787621,-0.13933333333333073,0,0,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,45,0 days 00:01:17.655000,HARD,33.0,True,0 days 02:04:51.937000,7,0 days 00:00:21.960000,0 days 00:00:24.697000,0 days 00:00:30.998000,1,77.655,7491.937,1.0789999999997235,True,False,False,False,33.0,0.0,0.0,0.0,0.0,21.96,24.697,30.998,0,0,0,0.0,77.809,0.22798355203824403,-0.6754873262706382,0,0,77.554,77.657,0.10299999999999443,0.0,0.10099999999999909,-0.14966666666666603,0.0,0.019999999999999574,0.060854745090256,-0.14966666666666603,0,0,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,46,0 days 00:01:17.657000,HARD,34.0,True,0 days 02:06:09.594000,7,0 days 00:00:21.994000,0 days 00:00:24.756000,0 days 00:00:30.907000,1,77.657,7569.594,0.8090000000001965,True,False,False,False,34.0,0.0,0.0,0.0,0.0,21.994,24.756,30.907,0,0,0,0.0,77.7218,0.1688777664465302,-0.3837094803152917,0,0,77.655,77.452,-0.20300000000000296,0.10099999999999909,0.001999999999995339,-0.02300000000000087,0.0,-0.0710000000000015,0.05292636394085678,-0.02300000000000087,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,47,0 days 00:01:17.452000,HARD,35.0,True,0 days 02:07:27.046000,7,0 days 00:00:21.891000,0 days 00:00:24.661000,0 days 00:00:30.900000,1,77.452,7647.046,0.7150000000001455,True,False,False,False,35.0,0.0,0.0,0.0,0.0,21.891,24.661,30.9,0,0,0,0.0,77.6526,0.06176811475158038,-3.2476302831450115,1,0,77.657,77.76,0.10300000000000864,0.10299999999999443,-0.2049999999999983,-0.005333333333335115,0.0,-0.0070000000000014495,0.043592430535588256,-0.005333333333335115,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
ALB,48,0 days 00:01:17.760000,HARD,36.0,True,0 days 02:08:44.806000,7,0 days 00:00:21.923000,0 days 00:00:24.876000,0 days 00:00:30.961000,1,77.76,7724.806,0.6660000000001673,True,False,False,False,36.0,0.0,0.0,0.0,0.0,21.923,24.876,30.961,0,0,0,0.0,77.59819999999999,0.09434882087212937,1.7149127938684119,0,1,77.452,77.687,0.23499999999999943,0.0,0.30800000000000693,-0.034000000000001286,0.0,0.06099999999999994,0.034691497517403934,-0.034000000000001286,0,1,2023,Canadian Grand Prix,2023_Canadian Grand Prix
