RaceKey,n,baseline_mae,baseline_rmse,model_mae,model_rmse,mae_gain
2022_Saudi Arabian Grand Prix,633,0.6447582938388625,1.4201119418307047,0.5598295795445809,1.3528101012436764,0.08492871429428162
2022_Australian Grand Prix,794,0.694345088161209,1.0206495141479657,0.571778231498757,0.8414405255138101,0.12256685666245204
2025_Spanish Grand Prix,971,0.6762935118434605,1.040667379248889,0.5934762468817144,0.8966701439484839,0.08281726496174613
2024_Las Vegas Grand Prix,806,0.7269131513647641,1.0270183275683498,0.6001298420869168,0.833732906250539,0.1267833092778473
2022_Spanish Grand Prix,1084,0.7030064575645755,1.1982526935198916,0.6113111387090628,1.0510133034389075,0.09169531885551263
2022_Bahrain Grand Prix,873,0.7293081328751431,1.121340833379758,0.6266786981272537,0.9412834790427771,0.10262943474788933
2022_Belgian Grand Prix,627,0.7649186602870812,1.1122965538040948,0.6295443348319993,0.8717013319962479,0.13537432545508188
2023_Las Vegas Grand Prix,719,0.8507788595271211,1.1973935950299037,0.6440289391712399,0.8786204910314952,0.20674992035588113
2024_Monaco Grand Prix,1171,0.8637309991460289,1.3903860785698285,0.6609516503960627,1.0343532942253741,0.20277934874996617
2023_Australian Grand Prix,750,0.932792,2.723426284664228,0.6689039551806251,1.9097189687432898,0.2638880448193749
2023_Singapore Grand Prix,940,0.8903893617021275,1.642222595506312,0.7096025044859638,1.3978237906427735,0.1807868572161636
